dateraw,cp_flag,exdateraw,tauday,x,s,tr,money,oprice,volume,iv,deltachk,date,x.1,X
30Oct2025,P,28Nov2025,29,765.0,666.469970703125,0.0405,-6.774535242835948,117.2,4.0,0.4245052667236328,-0.8566946280220247,2025-10-30,,
30Oct2025,P,19Dec2025,50,1110.0,666.469970703125,0.0405,-6.405670782356103,461.175,1.0,0.780275634765625,-0.9455083759424274,2025-10-30,,
30Oct2025,P,16Jan2026,78,950.0,666.469970703125,0.0405,-6.5658240920678965,301.175,63.0,0.4788870471191406,-0.9266659930108868,2025-10-30,,
30Oct2025,P,20Feb2026,113,1000.0,666.469970703125,0.0405,-6.520155797680347,351.175,2.0,0.439031488647461,-0.9315685622379462,2025-10-30,,
30Oct2025,P,20Mar2026,141,960.0,666.469970703125,0.0405,-6.565477792200602,311.325,8.0,0.3664003790283203,-0.9221878257101196,2025-10-30,,
30Oct2025,P,17Apr2026,169,950.0,666.469970703125,0.0405,-6.580449092067897,301.875,40.0,0.3338689660644531,-0.9137394581828844,2025-10-30,,
30Oct2025,P,15May2026,197,980.0,666.469970703125,0.0405,-6.553858504997866,331.525,6.0,0.3256903369140624,-0.9193012288870576,2025-10-30,,
30Oct2025,P,18Jun2026,231,1030.0,666.469970703125,0.0405,-6.509561281153088,381.175,2.0,0.3238898178100585,-0.9280145626668088,2025-10-30,,
30Oct2025,P,21Aug2026,295,1010.0,666.469970703125,0.0405,-6.539455466827178,362.125,5.0,0.2877268493652343,-0.9116897063436188,2025-10-30,,
30Oct2025,P,18Sep2026,323,1040.0,666.469970703125,0.0405,-6.514685084527065,391.175,8.0,0.2787852883911133,-0.9234918673203218,2025-10-30,,
31Oct2025,C,14Nov2025,14,1080.0,648.3499755859375,0.0405,-6.399719595203081,0.16,225.0,0.960937890625,0.004539165213718,2025-10-31,,
31Oct2025,C,21Nov2025,21,1100.0,648.3499755859375,0.0405,-6.382495456534884,0.1699999999999999,1249.0,0.81445498046875,0.0047106016167542,2025-10-31,,
31Oct2025,C,28Nov2025,28,1080.0,648.3499755859375,0.0405,-6.401969595203081,0.34,1675.0,0.7368190380859375,0.0085814798796937,2025-10-31,,
31Oct2025,C,05Dec2025,35,1050.0,648.3499755859375,0.0405,-6.431265472169777,0.63,1.0,0.676761044921875,0.0147323337307062,2025-10-31,,
31Oct2025,C,19Dec2025,49,1360.0,648.3499755859375,0.0405,-6.1748209365912485,0.16,486.0,0.710940390625,0.0035423931864081,2025-10-31,,
31Oct2025,C,16Jan2026,77,1360.0,648.3499755859375,0.0405,-6.179320936591248,0.42,1096.0,0.6254920263671876,0.0080812332843493,2025-10-31,,
31Oct2025,C,20Feb2026,112,1400.0,648.3499755859375,0.0405,-6.155958399717996,0.815,51.0,0.5783733569335938,0.0137709415778446,2025-10-31,,
