date,_TEMG001
11JUN1997,8
12JUN1997,8
13JUN1997,9
16JUN1997,11
17JUN1997,8
18JUN1997,4
19JUN1997,8
20JUN1997,13
23JUN1997,8
24JUN1997,4
25JUN1997,5
26JUN1997,9
27JUN1997,19
30JUN1997,15
01JUL1997,36
02JUL1997,20
03JUL1997,15
07JUL1997,29
08JUL1997,16
09JUL1997,14
10JUL1997,29
11JUL1997,34
14JUL1997,24
15JUL1997,21
16JUL1997,25
17JUL1997,32
18JUL1997,29
21JUL1997,33
22JUL1997,19
23JUL1997,18
24JUL1997,10
25JUL1997,13
28JUL1997,10
29JUL1997,5
30JUL1997,19
31JUL1997,24
01AUG1997,32
04AUG1997,35
05AUG1997,26
06AUG1997,59
07AUG1997,88
08AUG1997,80
11AUG1997,72
12AUG1997,60
13AUG1997,66
14AUG1997,57
15AUG1997,52
18AUG1997,49
19AUG1997,45
20AUG1997,64
21AUG1997,46
22AUG1997,49
25AUG1997,37
26AUG1997,47
27AUG1997,45
28AUG1997,34
29AUG1997,41
02SEP1997,44
03SEP1997,41
04SEP1997,36
05SEP1997,22
08SEP1997,32
09SEP1997,34
10SEP1997,39
11SEP1997,35
12SEP1997,34
15SEP1997,32
17SEP1997,33
18SEP1997,27
19SEP1997,28
22SEP1997,24
23SEP1997,27
24SEP1997,25
25SEP1997,25
26SEP1997,28
29SEP1997,25
30SEP1997,20
01OCT1997,16
02OCT1997,19
03OCT1997,8
06OCT1997,30
07OCT1997,15
08OCT1997,23
09OCT1997,19
10OCT1997,29
13OCT1997,18
14OCT1997,14
15OCT1997,28
16OCT1997,27
17OCT1997,28
20OCT1997,32
21OCT1997,35
22OCT1997,20
23OCT1997,31
24OCT1997,38
28OCT1997,37
29OCT1997,31
30OCT1997,23
31OCT1997,36
03NOV1997,32
04NOV1997,32
05NOV1997,47
06NOV1997,45
07NOV1997,48
10NOV1997,54
11NOV1997,32
12NOV1997,24
13NOV1997,28
14NOV1997,25
17NOV1997,21
18NOV1997,16
19NOV1997,28
20NOV1997,13
21NOV1997,21
24NOV1997,27
25NOV1997,19
26NOV1997,20
28NOV1997,9
01DEC1997,20
02DEC1997,35
03DEC1997,27
04DEC1997,26
05DEC1997,18
08DEC1997,24
09DEC1997,25
10DEC1997,27
11DEC1997,27
12DEC1997,26
15DEC1997,32
16DEC1997,18
17DEC1997,35
18DEC1997,22
19DEC1997,22
22DEC1997,35
23DEC1997,39
24DEC1997,28
26DEC1997,9
29DEC1997,28
30DEC1997,41
31DEC1997,43
02JAN1998,36
05JAN1998,47
06JAN1998,64
07JAN1998,59
08JAN1998,41
09JAN1998,37
12JAN1998,30
13JAN1998,43
14JAN1998,41
15JAN1998,42
16JAN1998,34
20JAN1998,22
21JAN1998,21
22JAN1998,24
23JAN1998,27
26JAN1998,20
27JAN1998,18
28JAN1998,13
29JAN1998,21
30JAN1998,13
02FEB1998,30
03FEB1998,19
05FEB1998,8
06FEB1998,5
09FEB1998,21
10FEB1998,14
11FEB1998,18
12FEB1998,9
13FEB1998,23
17FEB1998,13
18FEB1998,26
19FEB1998,20
20FEB1998,15
23FEB1998,34
24FEB1998,13
25FEB1998,43
26FEB1998,41
27FEB1998,31
02MAR1998,24
03MAR1998,24
04MAR1998,51
05MAR1998,30
06MAR1998,19
09MAR1998,38
10MAR1998,30
11MAR1998,44
12MAR1998,39
13MAR1998,51
16MAR1998,37
17MAR1998,37
18MAR1998,30
19MAR1998,23
20MAR1998,22
23MAR1998,31
24MAR1998,39
25MAR1998,45
26MAR1998,22
27MAR1998,23
30MAR1998,32
31MAR1998,35
01APR1998,20
02APR1998,22
03APR1998,20
06APR1998,30
07APR1998,36
08APR1998,32
09APR1998,16
13APR1998,14
14APR1998,23
15APR1998,26
16APR1998,56
17APR1998,42
20APR1998,31
21APR1998,24
22APR1998,15
23APR1998,14
24APR1998,17
27APR1998,10
28APR1998,21
29APR1998,4
30APR1998,17
04MAY1998,24
05MAY1998,19
06MAY1998,28
07MAY1998,26
08MAY1998,22
11MAY1998,35
12MAY1998,25
13MAY1998,26
14MAY1998,18
15MAY1998,24
18MAY1998,30
19MAY1998,19
20MAY1998,21
21MAY1998,29
22MAY1998,34
26MAY1998,33
27MAY1998,26
28MAY1998,19
29MAY1998,20
01JUN1998,23
02JUN1998,17
03JUN1998,9
04JUN1998,25
05JUN1998,14
08JUN1998,15
09JUN1998,21
10JUN1998,17
11JUN1998,5
12JUN1998,9
15JUN1998,20
16JUN1998,15
17JUN1998,15
18JUN1998,14
19JUN1998,18
22JUN1998,23
23JUN1998,11
24JUN1998,8
25JUN1998,19
26JUN1998,11
29JUN1998,15
30JUN1998,9
01JUL1998,18
02JUL1998,29
06JUL1998,24
07JUL1998,32
08JUL1998,46
09JUL1998,51
10JUL1998,30
13JUL1998,41
14JUL1998,35
15JUL1998,29
16JUL1998,56
17JUL1998,50
20JUL1998,46
21JUL1998,30
22JUL1998,37
23JUL1998,25
24JUL1998,32
27JUL1998,26
28JUL1998,16
29JUL1998,30
30JUL1998,43
31JUL1998,21
03AUG1998,26
04AUG1998,36
05AUG1998,31
06AUG1998,30
07AUG1998,34
10AUG1998,31
11AUG1998,66
12AUG1998,67
13AUG1998,47
14AUG1998,48
17AUG1998,56
18AUG1998,55
19AUG1998,62
20AUG1998,41
21AUG1998,52
24AUG1998,54
25AUG1998,51
26AUG1998,46
27AUG1998,72
28AUG1998,63
31AUG1998,72
01SEP1998,66
02SEP1998,61
03SEP1998,55
04SEP1998,52
08SEP1998,54
09SEP1998,45
10SEP1998,48
11SEP1998,34
14SEP1998,35
15SEP1998,20
16SEP1998,27
17SEP1998,26
18SEP1998,32
21SEP1998,30
22SEP1998,27
23SEP1998,29
24SEP1998,33
25SEP1998,24
28SEP1998,40
29SEP1998,34
30SEP1998,28
01OCT1998,50
02OCT1998,51
05OCT1998,55
06OCT1998,38
07OCT1998,52
08OCT1998,66
09OCT1998,48
12OCT1998,41
13OCT1998,39
14OCT1998,49
15OCT1998,49
16OCT1998,36
19OCT1998,33
20OCT1998,41
21OCT1998,28
22OCT1998,34
23OCT1998,36
26OCT1998,26
27OCT1998,49
28OCT1998,31
29OCT1998,29
30OCT1998,19
02NOV1998,30
03NOV1998,30
04NOV1998,29
05NOV1998,29
06NOV1998,40
09NOV1998,43
10NOV1998,41
11NOV1998,55
12NOV1998,53
13NOV1998,45
16NOV1998,32
17NOV1998,23
18NOV1998,22
19NOV1998,32
20NOV1998,33
23NOV1998,44
24NOV1998,31
25NOV1998,39
27NOV1998,17
30NOV1998,42
01DEC1998,47
02DEC1998,43
03DEC1998,23
04DEC1998,46
07DEC1998,36
08DEC1998,42
09DEC1998,44
10DEC1998,30
11DEC1998,31
14DEC1998,28
15DEC1998,25
16DEC1998,37
17DEC1998,27
18DEC1998,40
21DEC1998,35
22DEC1998,62
23DEC1998,77
24DEC1998,44
28DEC1998,46
29DEC1998,50
30DEC1998,53
31DEC1998,51
04JAN1999,50
05JAN1999,62
06JAN1999,71
07JAN1999,75
08JAN1999,55
11JAN1999,53
12JAN1999,38
13JAN1999,56
14JAN1999,70
15JAN1999,59
19JAN1999,56
20JAN1999,56
21JAN1999,65
22JAN1999,53
25JAN1999,43
26JAN1999,52
27JAN1999,55
28JAN1999,47
29JAN1999,39
01FEB1999,50
02FEB1999,32
03FEB1999,31
04FEB1999,43
05FEB1999,60
08FEB1999,40
09FEB1999,47
10FEB1999,48
11FEB1999,41
12FEB1999,46
16FEB1999,25
17FEB1999,32
18FEB1999,48
19FEB1999,43
22FEB1999,47
23FEB1999,46
24FEB1999,38
25FEB1999,36
26FEB1999,55
01MAR1999,47
02MAR1999,52
03MAR1999,28
04MAR1999,42
05MAR1999,58
08MAR1999,48
09MAR1999,38
10MAR1999,46
11MAR1999,50
12MAR1999,42
15MAR1999,31
16MAR1999,40
17MAR1999,34
18MAR1999,36
19MAR1999,39
22MAR1999,43
23MAR1999,41
24MAR1999,47
25MAR1999,34
26MAR1999,28
29MAR1999,43
30MAR1999,43
31MAR1999,44
01APR1999,25
05APR1999,35
06APR1999,44
07APR1999,41
08APR1999,33
09APR1999,50
12APR1999,36
13APR1999,38
14APR1999,41
15APR1999,47
16APR1999,27
19APR1999,47
20APR1999,37
21APR1999,27
22APR1999,37
23APR1999,47
26APR1999,69
27APR1999,75
28APR1999,69
29APR1999,60
30APR1999,75
03MAY1999,80
04MAY1999,67
05MAY1999,49
06MAY1999,58
07MAY1999,49
10MAY1999,51
11MAY1999,56
12MAY1999,50
13MAY1999,34
14MAY1999,42
17MAY1999,35
18MAY1999,28
19MAY1999,21
20MAY1999,39
21MAY1999,36
24MAY1999,41
25MAY1999,39
26MAY1999,41
27MAY1999,30
28MAY1999,33
01JUN1999,36
02JUN1999,43
03JUN1999,48
04JUN1999,39
07JUN1999,32
08JUN1999,34
09JUN1999,26
10JUN1999,34
11JUN1999,30
14JUN1999,17
15JUN1999,21
16JUN1999,27
17JUN1999,19
18JUN1999,23
21JUN1999,21
22JUN1999,26
23JUN1999,36
24JUN1999,48
25JUN1999,29
28JUN1999,23
29JUN1999,24
30JUN1999,40
01JUL1999,20
02JUL1999,21
06JUL1999,46
07JUL1999,58
08JUL1999,71
09JUL1999,58
12JUL1999,45
13JUL1999,34
14JUL1999,48
15JUL1999,51
16JUL1999,41
19JUL1999,64
20JUL1999,30
21JUL1999,43
22JUL1999,41
23JUL1999,26
26JUL1999,32
27JUL1999,30
28JUL1999,29
29JUL1999,23
30JUL1999,42
02AUG1999,37
03AUG1999,26
04AUG1999,34
05AUG1999,26
06AUG1999,20
09AUG1999,38
10AUG1999,36
11AUG1999,47
12AUG1999,55
13AUG1999,42
16AUG1999,33
17AUG1999,38
18AUG1999,28
19AUG1999,31
20AUG1999,27
23AUG1999,34
24AUG1999,39
25AUG1999,32
26AUG1999,47
27AUG1999,45
30AUG1999,51
31AUG1999,44
01SEP1999,53
02SEP1999,46
03SEP1999,66
07SEP1999,76
08SEP1999,75
09SEP1999,60
10SEP1999,43
13SEP1999,37
14SEP1999,32
15SEP1999,44
16SEP1999,47
17SEP1999,38
20SEP1999,55
21SEP1999,109
22SEP1999,83
23SEP1999,78
24SEP1999,73
27SEP1999,78
28SEP1999,84
29SEP1999,73
30SEP1999,72
01OCT1999,52
04OCT1999,53
05OCT1999,70
06OCT1999,77
07OCT1999,45
08OCT1999,40
11OCT1999,39
12OCT1999,49
13OCT1999,40
14OCT1999,71
15OCT1999,31
18OCT1999,60
19OCT1999,59
20OCT1999,57
21OCT1999,61
22OCT1999,52
25OCT1999,44
26OCT1999,47
27OCT1999,43
28OCT1999,52
29OCT1999,74
01NOV1999,51
02NOV1999,62
03NOV1999,68
04NOV1999,69
05NOV1999,72
08NOV1999,106
09NOV1999,93
10NOV1999,71
11NOV1999,71
12NOV1999,61
15NOV1999,54
16NOV1999,25
17NOV1999,54
18NOV1999,49
19NOV1999,52
22NOV1999,41
23NOV1999,55
24NOV1999,44
26NOV1999,38
29NOV1999,57
