ticker,dataset,local_rows,blob_rows,local_unique_dates,blob_unique_dates,local_min_date,local_max_date,blob_min_date,blob_max_date,local_only_dates,blob_only_dates,common_dates,local_only_rows,blob_only_rows,common_rows,classification,notes
GOOG,count,17,25,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,0,8,17,local_subset_of_blob,Local backup is a strict subset of Blob data.
T,detail,4010,5808,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,12,1810,3998,divergent_overlap,Datasets overlap in date coverage but differ in row content.
T,count,17,25,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,0,8,17,local_subset_of_blob,Local backup is a strict subset of Blob data.
XOM,detail,6879,9841,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,21,2983,6858,divergent_overlap,Datasets overlap in date coverage but differ in row content.
XOM,count,17,25,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,0,8,17,local_subset_of_blob,Local backup is a strict subset of Blob data.
AMZN,detail,16339,23037,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,769,7467,15570,divergent_overlap,Datasets overlap in date coverage but differ in row content.
AMZN,count,17,25,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,0,8,17,local_subset_of_blob,Local backup is a strict subset of Blob data.
MS,detail,3924,5749,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,14,1839,3910,divergent_overlap,Datasets overlap in date coverage but differ in row content.
MS,count,17,25,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,0,8,17,local_subset_of_blob,Local backup is a strict subset of Blob data.
NVDA,detail,21270,31592,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,67,10389,21203,divergent_overlap,Datasets overlap in date coverage but differ in row content.
NVDA,count,17,25,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,0,8,17,local_subset_of_blob,Local backup is a strict subset of Blob data.
AIG,detail,1275,1729,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,1,455,1274,divergent_overlap,Datasets overlap in date coverage but differ in row content.
AIG,count,17,25,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,0,8,17,local_subset_of_blob,Local backup is a strict subset of Blob data.
GM,detail,3477,4989,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,7,1519,3470,divergent_overlap,Datasets overlap in date coverage but differ in row content.
GM,count,17,25,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,0,8,17,local_subset_of_blob,Local backup is a strict subset of Blob data.
DIS,detail,5073,7180,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,11,2118,5062,divergent_overlap,Datasets overlap in date coverage but differ in row content.
DIS,count,17,25,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,0,8,17,local_subset_of_blob,Local backup is a strict subset of Blob data.
BA,detail,9168,12915,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,33,3780,9135,divergent_overlap,Datasets overlap in date coverage but differ in row content.
BA,count,17,25,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,0,8,17,local_subset_of_blob,Local backup is a strict subset of Blob data.
